0_x,0_y,0_z,1_x,1_y,1_z,2_x,2_y,2_z,3_x,3_y,3_z,4_x,4_y,4_z,5_x,5_y,5_z,6_x,6_y,6_z,7_x,7_y,7_z,8_x,8_y,8_z,9_x,9_y,9_z,10_x,10_y,10_z,11_x,11_y,11_z,12_x,12_y,12_z,13_x,13_y,13_z,14_x,14_y,14_z,15_x,15_y,15_z,16_x,16_y,16_z,17_x,17_y,17_z,18_x,18_y,18_z,19_x,19_y,19_z,20_x,20_y,20_z,21_x,21_y,21_z,22_x,22_y,22_z,23_x,23_y,23_z
-0.012246,0.770965,0.196539,0.128107,0.617003,0.268649,-0.122856,0.497098,0.258463,-0.009626,0.842237,0.197235,0.160605,0.179451,0.169276,-0.151676,0.250961,0.175127,0.004115500000000001,1.146572,0.061803,0.164343,0.095478,0.106696,-0.152259,0.104603,0.075931,0.01353,1.258231,0.054121,0.217713,0.049098,0.230064,-0.2041,0.05491,0.19866,0.009648,1.230152,0.092151,0.041385,1.1878,0.098946,-0.027882,1.192691,0.094654,-0.003852,1.355276,0.138302,0.161708,1.206131,0.116446,-0.146417,1.224981,0.099824,0.146303,1.011824,0.105555,-0.197983,1.038349,0.074922,0.21540900000000002,0.807504,0.258903,-0.256589,0.819009,0.2199835,-0.283479,0.747556,0.184719,-0.283479,0.747556,0.184719
-0.012818,0.770555,0.196801,0.127349,0.616301,0.268581,-0.123209,0.496736,0.258615,-0.010138,0.841828,0.197165,0.160628,0.179105,0.169053,-0.153398,0.250774,0.174872,0.0031494999999999995,1.14624,0.0612545,0.164398,0.095035,0.106604,-0.152606,0.104401,0.0757,0.012697,1.257876,0.053422,0.217741,0.049068,0.230138,-0.204198,0.0549,0.19861,0.008846,1.229848,0.091493,0.04054,1.187463,0.098282,-0.028729,1.19244,0.094108,-0.004965,1.356179,0.136391,0.160891,1.205862,0.115511,-0.147203,1.224899,0.099583,0.144922,1.011562,0.105338,-0.198917,1.038172,0.075716,0.21550350000000001,0.8075399999999999,0.256391,-0.2567335,0.8195005,0.22229300000000002,-0.283864,0.747764,0.187796,-0.283864,0.747764,0.187796
-0.01324,0.770213,0.196933,0.125354,0.615454,0.268656,-0.12356,0.496313,0.25867,-0.010619,0.841489,0.197076,0.160634,0.179017,0.168722,-0.153975,0.250416,0.174837,0.0021425000000000055,1.1460845,0.060569,0.164449,0.094746,0.106547,-0.15276,0.104012,0.075714,0.011719,1.257713,0.052654,0.217762,0.049068,0.2302,-0.204263,0.054797,0.198776,0.007944,1.229707,0.090748,0.039635,1.187312,0.097487,-0.02964,1.192316,0.09347,-0.006296,1.357029,0.134658,0.160027,1.205687,0.114457,-0.148082,1.224854,0.099183,0.143639,1.01138,0.105115,-0.199618,1.03796,0.076256,0.215464,0.8073245,0.2541235,-0.256811,0.81972,0.22471799999999997,-0.283055,0.747208,0.191171,-0.283055,0.747208,0.191171
-0.013564,0.769985,0.196904,0.124145,0.61506,0.268645,-0.123874,0.495958,0.258627,-0.011057,0.841265,0.196865,0.160598,0.179025,0.168552,-0.154187,0.25006,0.174757,0.0010935000000000042,1.146023,0.05982,0.16444,0.094641,0.106533,-0.152944,0.10366,0.075628,0.010621,1.257652,0.051853,0.217768,0.049105,0.230233,-0.204305,0.054839,0.198906,0.006956,1.229654,0.089964,0.038675,1.187268,0.096628,-0.030612,1.192254,0.092796,-0.007327,1.357826,0.132938,0.159114,1.205603,0.113311,-0.149045,1.224803,0.09863,0.142293,1.011277,0.105214,-0.200235,1.037691,0.076723,0.215478,0.8071655,0.2519905,-0.2566535,0.8201080000000001,0.22733150000000002,-0.282588,0.74705,0.19474,-0.282588,0.74705,0.19474
-0.013894,0.769895,0.196663,0.124001,0.615164,0.268513,-0.124131,0.49581,0.258532,-0.011467,0.841177,0.196477,0.160537,0.179029,0.168579,-0.154141,0.249818,0.174687,1.5000000000001124e-05,1.1459375,0.0590415,0.164379,0.094648,0.106555,-0.152978,0.103435,0.075532,0.009495,1.257564,0.050984,0.217749,0.049135,0.230246,-0.204313,0.05478,0.198887,0.005943,1.229586,0.089121,0.037691,1.187212,0.09572,-0.031608,1.19218,0.09208,-0.009013,1.358102,0.130824,0.158172,1.205564,0.112074,-0.150049,1.224683,0.098008,0.140975,1.011215,0.10546,-0.200881,1.037352,0.077169,0.215564,0.807102,0.2500875,-0.2563615,0.8204405,0.22990100000000002,-0.282132,0.746908,0.198262,-0.282132,0.746908,0.198262
-0.014272,0.77003,0.196134,0.123985,0.615558,0.268269,-0.124248,0.496017,0.258437,-0.011845,0.841313,0.195904,0.160466,0.17913,0.168671,-0.153985,0.249815,0.174694,-0.0010500000000000023,1.1458080000000002,0.0582345,0.164294,0.094782,0.106603,-0.152935,0.103456,0.075503,0.008425,1.257425,0.050042,0.217717,0.049146,0.230225,-0.204282,0.05482,0.198861,0.004975,1.229485,0.088216,0.036734,1.187112,0.094768,-0.032573,1.192088,0.091316,-0.010868,1.358353,0.128477,0.157254,1.205495,0.110799,-0.151032,1.224507,0.097354,0.139654,1.011127,0.106078,-0.201473,1.036958,0.077547,0.215814,0.807221,0.2484285,-0.25594,0.820646,0.2322225,-0.28152,0.74665,0.201522,-0.28152,0.74665,0.201522
-0.01468,0.770372,0.195343,0.124022,0.616204,0.267909,-0.124181,0.496545,0.258347,-0.01217,0.841652,0.195234,0.160383,0.179316,0.168824,-0.153739,0.250051,0.174761,-0.002368999999999996,1.145747,0.057524,0.164187,0.09502,0.106683,-0.152894,0.103724,0.07552,0.007029,1.257365,0.04925,0.217666,0.049136,0.23019,-0.204215,0.055001,0.198854,0.003708,1.229442,0.087447,0.035507,1.187087,0.093922,-0.033813,1.192028,0.090679,-0.013204,1.358462,0.126775,0.156107,1.205332,0.109498,-0.152268,1.22446,0.096719,0.138388,1.010933,0.107034,-0.201964,1.036617,0.077845,0.215658,0.8068995,0.2468955,-0.255337,0.820641,0.23415199999999997,-0.280717,0.746228,0.204306,-0.280717,0.746228,0.204306
-0.014943,0.770689,0.194474,0.124251,0.616945,0.26751,-0.124052,0.497,0.258245,-0.012399,0.841967,0.194519,0.1603,0.179503,0.169031,-0.153464,0.250199,0.174796,-0.0038520000000000013,1.145962,0.057139499999999996,0.164046,0.095269,0.106803,-0.152847,0.103925,0.075477,0.005285,1.257612,0.049023,0.217608,0.049129,0.230178,-0.204153,0.055005,0.198739,0.002155,1.229618,0.087184,0.034065,1.187319,0.093476,-0.035277,1.192121,0.090483,-0.016114,1.35875,0.125526,0.154821,1.20524,0.108192,-0.153744,1.224572,0.09616,0.137033,1.010832,0.108756,-0.202292,1.036354,0.078048,0.21536450000000001,0.8066195,0.245369,-0.2544725,0.82039,0.2355795,-0.279809,0.7457,0.206397,-0.279809,0.7457,0.206397
-0.015172,0.770595,0.193923,0.125211,0.617449,0.267116,-0.123998,0.496923,0.258151,-0.012666,0.841875,0.193854,0.160306,0.179357,0.169241,-0.153348,0.249968,0.174757,-0.0050544999999999965,1.1461345,0.056401,0.163962,0.095223,0.106872,-0.152816,0.103726,0.075389,0.003919,1.257803,0.048361,0.217583,0.049127,0.230237,-0.204104,0.05504,0.198751,0.00097,1.229767,0.086506,0.032953,1.187499,0.092633,-0.036405,1.192222,0.089912,-0.018199,1.358821,0.124673,0.153799,1.20533,0.106716,-0.154908,1.22452,0.09572,0.135805,1.010984,0.110827,-0.202566,1.036007,0.078324,0.2151485,0.806656,0.2440495,-0.2533955,0.8199505,0.2364945,-0.278786,0.745112,0.207742,-0.278786,0.745112,0.207742
-0.015237,0.770686,0.19314,0.125967,0.618101,0.266474,-0.123973,0.496996,0.257964,-0.012804,0.841969,0.193202,0.160321,0.179467,0.169343,-0.153222,0.249859,0.174707,-0.006302999999999996,1.146328,0.0556875,0.163884,0.095361,0.106931,-0.152634,0.103603,0.07536,0.002448,1.258022,0.047746,0.217558,0.049158,0.230234,-0.204028,0.055038,0.198726,-0.000279,1.229933,0.085869,0.031803,1.187711,0.091795,-0.037575,1.192322,0.0894,-0.020024,1.358843,0.124229,0.152724,1.205518,0.105242,-0.156088,1.22452,0.095546,0.1348,1.011297,0.113478,-0.202838,1.035733,0.078671,0.2151675,0.8071094999999999,0.2428845,-0.2521675,0.8193125,0.23684499999999997,-0.277601,0.744412,0.208291,-0.277601,0.744412,0.208291
-0.015129,0.770762,0.192282,0.126391,0.61856,0.265678,-0.123817,0.497068,0.257839,-0.012778,0.842047,0.192422,0.160381,0.179588,0.169287,-0.153138,0.249731,0.1747,-0.007633500000000001,1.1465195000000001,0.05501399999999999,0.163855,0.095433,0.106936,-0.152633,0.103494,0.075325,0.000905,1.258239,0.047201,0.217559,0.049247,0.230232,-0.204052,0.055164,0.198773,-0.001567,1.230086,0.085294,0.03061,1.187903,0.090975,-0.038787,1.192413,0.088973,-0.021766,1.358793,0.124097,0.151592,1.20575,0.103806,-0.157288,1.224543,0.095675,0.134208,1.011737,0.116766,-0.203135,1.035514,0.079031,0.2147395,0.8072555,0.2417185,-0.250958,0.8185640000000001,0.23668650000000002,-0.276305,0.743646,0.208101,-0.276305,0.743646,0.208101
